"","spot_1","spot_2","spot_3","spot_4","spot_5","spot_6","spot_7","spot_8","spot_9","spot_10","spot_11","spot_12","spot_13","spot_14","spot_15","spot_16","spot_17","spot_18","spot_19","spot_20","spot_21","spot_22","spot_23","spot_24","spot_25","spot_26","spot_27","spot_28","spot_29","spot_30","spot_31","spot_32","spot_33","spot_34","spot_35","spot_36","spot_37","spot_38","spot_39","spot_40","spot_41","spot_42","spot_43","spot_44","spot_45","spot_46","spot_47","spot_48","spot_49","spot_50","spot_51","spot_52","spot_53","spot_54","spot_55","spot_56","spot_57","spot_58","spot_59","spot_60","spot_61","spot_62","spot_63","spot_64","spot_65","spot_66","spot_67","spot_68","spot_69"
"Pdzd2",0,4,2,5,1,0,3,2,1,2,4,1,0,0,0,2,3,4,2,3,5,1,1,8,5,3,0,0,2,4,3,2,1,6,1,3,2,5,2,1,1,1,2,1,1,2,2,4,3,2,1,5,1,3,1,1,0,3,3,4,4,4,2,6,4,2,1,2,0
"Erbb4",0,1,1,1,4,4,0,3,4,1,1,7,1,3,2,2,2,0,3,0,1,0,0,0,5,4,4,0,0,1,1,0,0,2,2,3,0,0,2,3,0,1,0,1,1,1,3,4,0,0,2,2,1,2,1,0,0,4,2,0,2,0,1,4,0,1,3,0,5
"Fam163a",0,0,2,1,3,2,0,0,1,1,0,0,1,0,4,1,3,2,3,1,3,0,1,1,0,2,0,1,4,1,1,0,0,0,1,2,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,3,2,2,2,0,2,2
"Hcn3",0,0,2,0,3,2,1,6,0,3,2,2,2,2,0,0,1,0,0,2,1,0,1,2,2,4,3,2,2,0,4,3,2,1,4,3,1,0,3,1,2,1,4,0,2,0,1,4,2,3,0,2,3,0,1,0,0,1,2,3,1,0,1,0,2,3,2,0,1
"Col6a3",0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,3,3,2,0,0,0,0,2,0,1,1,2,0,0,6,0,0,0,0,0,2,0,2,2,1,2,2,1,0,0,2,0,1,0,0,1,0,2,0,1,0,3,0,1,0,0,1,1,1,1,2,1,2
"Dlx6os1",0,2,0,1,0,0,0,2,3,0,0,1,1,1,1,3,1,2,1,1,0,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,3,2,0,1,0,0,1,0,1,2,1,0,0,1,0,1,0,1,0,1,0,3,0,1,0,0,1
"Col15a1",0,0,4,1,0,0,0,0,1,4,2,2,0,0,3,3,5,1,1,3,2,0,0,1,2,1,1,0,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,2,2,1,0,0,1,2,0,0,1,3,2,0,0,1,0,2,2,0,0,0,2,1,1,1,0
"Cacng5",0,2,2,2,2,0,1,3,0,2,2,0,3,1,3,1,2,1,0,1,2,2,3,0,0,1,1,2,5,4,1,1,3,2,3,2,2,3,1,0,2,2,4,2,4,3,2,2,1,3,1,1,1,1,3,1,0,1,2,0,1,1,1,1,0,1,2,1,3
"Scn7a",0,1,2,2,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,2,1,1,0,0,2,2,0,1,0,0,0,2,2,0,0,1,0,1,2,0,0,0,1,1,1,0,0,1,1
"Dennd2a",0,0,2,0,2,0,0,0,0,1,0,0,1,3,3,2,2,1,1,2,2,2,3,1,3,3,2,0,6,2,0,3,1,0,2,1,2,0,2,1,2,1,0,0,0,3,1,0,2,0,1,1,2,0,1,0,0,3,3,0,3,0,1,3,2,1,5,2,0
"Wnt5a",0,2,2,1,1,1,2,1,1,2,1,1,3,0,1,3,2,2,1,1,0,1,2,0,2,1,2,0,2,4,1,0,0,0,0,0,1,1,3,0,0,0,3,1,0,1,0,2,1,0,1,2,0,2,1,0,0,1,1,0,1,2,1,1,0,1,1,1,0
"Tmem229b",0,3,0,5,9,3,1,6,6,4,4,0,5,1,5,0,3,3,4,10,1,3,3,3,0,3,3,0,3,2,2,1,3,7,4,3,5,1,2,0,2,2,6,3,2,7,3,6,4,5,5,8,4,3,2,2,0,5,3,1,2,1,1,2,2,5,4,2,4
"Cbln2",0,1,3,1,0,1,0,2,1,0,3,0,0,0,1,0,3,3,2,1,1,3,1,4,6,0,2,0,1,0,1,1,1,2,0,1,4,2,3,3,0,0,1,2,1,1,0,0,1,1,0,1,3,1,0,0,0,3,0,2,0,0,2,0,0,0,2,0,0
"Mybpc1",0,2,2,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,2,3,0,0,2,2,2,0,1,2,1,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,2,0,0,1,0,2,3,4,1,2,0,0,1,0,0
"Wnt5b",0,0,1,2,6,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1,1,0,1,0,0,6,0,0,0,0,2,0,1,1,1,1,0,2,3,1,0,1,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,0,1,0,2,0,1,0,0
"Tcerg1l",0,0,0,0,1,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,2,0,0,0,0,2,2,3,1,2,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,1,0,0
"Gpr176",0,2,5,5,4,2,1,0,3,1,2,1,5,1,1,4,1,2,3,2,2,3,2,3,3,1,4,0,1,0,3,3,0,1,2,5,0,2,1,0,3,1,1,0,0,1,2,5,1,1,4,5,4,0,3,2,0,6,1,4,1,1,0,3,1,1,3,2,1
"Gpr68",0,0,0,0,1,1,0,3,1,1,3,1,0,0,1,3,2,2,1,0,0,0,2,1,1,1,0,2,2,1,3,0,2,3,1,3,2,1,3,2,3,1,0,2,3,4,4,1,1,1,2,6,2,2,2,0,0,3,0,1,3,0,3,1,1,3,1,1,1
"Hcrtr2",0,0,4,2,4,2,2,2,2,3,2,1,4,0,3,2,4,2,2,2,0,1,0,4,2,2,4,0,1,2,0,2,0,2,3,1,2,2,2,1,0,2,2,4,3,2,2,1,3,0,3,1,2,1,0,3,1,2,3,0,0,2,2,0,1,3,1,0,1
"Cntn6",0,0,0,3,3,2,0,2,3,0,0,1,1,1,1,3,1,2,3,0,4,1,4,5,2,2,2,0,0,4,2,4,0,2,0,4,0,2,1,0,2,4,1,0,1,0,1,3,0,0,0,2,1,4,1,4,0,3,0,0,2,1,3,0,3,3,2,0,1
"Col24a1",0,2,1,1,0,0,0,2,1,2,2,1,1,0,1,5,5,2,1,0,0,4,0,0,3,1,1,0,1,1,2,3,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,4,1,0,0,1,0,0,4,0,0,2,1,0,0,1
"Glra2",0,1,1,2,1,4,1,1,3,3,2,1,2,0,2,1,1,4,1,1,3,2,2,0,1,3,0,1,1,3,0,1,3,2,3,2,0,0,3,2,1,3,1,3,2,3,0,0,1,3,4,1,1,1,2,2,1,0,3,1,2,3,3,2,3,0,2,1,2
"Rgs16",0,0,0,3,2,0,1,0,2,2,1,2,1,0,1,1,2,2,1,1,3,1,0,0,2,1,3,2,2,1,2,0,0,0,2,2,0,0,1,2,1,1,0,1,1,0,0,0,0,2,3,1,3,0,0,1,0,1,2,1,4,2,2,2,0,0,2,0,1
"Grpr",0,1,1,0,0,0,2,0,2,0,2,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,1,0,1,3,0,0,2,0,0,2,0,0,0,0,0,1,2,0,1,1,0,1,3,1,0,0,1,0,2,0,1,0,0
"Rgs8",0,2,1,3,2,0,0,1,1,1,0,0,2,2,1,2,0,2,3,0,1,1,0,3,0,2,4,0,5,2,0,1,3,0,1,0,1,0,3,1,1,0,5,1,4,2,1,1,0,1,3,3,1,1,1,3,0,0,1,2,3,0,3,0,4,1,2,2,2
"Slc5a6",0,0,2,0,2,0,0,1,1,0,3,2,0,0,3,3,0,0,0,0,2,1,1,1,0,2,0,0,0,1,0,1,1,2,1,1,2,1,0,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,2,0,2,0,0,2
"Vangl2",0,2,1,1,2,1,1,0,4,2,0,1,2,0,3,0,0,3,1,2,1,3,2,1,0,2,1,1,3,1,1,1,1,1,2,3,2,1,3,2,5,3,2,2,1,2,1,1,0,0,1,0,1,1,3,0,0,1,3,3,3,2,3,2,3,1,0,1,1
"Lca5l",0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,1,2,0,0,1,1,0,1,2,0,3,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,1,0,2,0,2,0,0,1,1,2,0,1,0,2,2,0,1,0,0,0,1,0,0
"Bag2",0,0,1,1,0,1,0,0,1,1,1,0,2,0,3,1,1,0,1,0,1,0,0,0,2,0,3,2,5,1,4,3,1,0,2,1,2,0,0,3,2,0,2,2,4,1,2,0,2,1,1,2,2,0,0,1,0,1,2,0,2,1,0,2,1,0,1,2,0
"Trpc3",0,5,1,1,1,0,2,1,2,1,1,0,2,0,0,0,1,2,2,0,2,2,2,1,2,0,1,1,2,2,2,2,1,5,9,1,4,0,2,0,0,0,0,1,1,2,1,0,1,4,3,1,1,4,7,0,0,1,2,2,1,1,0,0,1,3,2,4,2
"Gpc3",0,1,0,2,0,0,0,1,2,0,2,0,2,0,0,1,0,0,3,1,0,0,2,1,1,0,2,1,0,3,2,0,3,1,0,1,1,1,2,0,0,0,2,3,0,1,0,2,0,1,0,2,0,0,0,1,2,2,4,0,1,0,0,0,2,0,1,1,1
"Clrn1",0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,2,1,0,1,0,2,2,2,1,0,2,0,0,1,1,1,1,1,0,2,1,2,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0
"Rimklb",0,0,1,2,1,1,0,0,2,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,3,0,4,2,1,2,1,0,1,1,0,0,0,0,1,0,1,0,1,0,5,2,0,1,0,0,1,1,1,0,1,0,0,2,1,1,2,0,1,0,0,1,0,0,1
"Cep120",0,3,2,2,5,0,0,6,2,2,0,2,1,0,1,4,2,1,1,0,2,0,3,3,1,3,2,0,1,1,1,1,2,2,5,2,0,0,3,1,1,1,3,1,0,1,3,0,5,1,4,1,2,9,2,0,0,1,3,0,2,0,1,0,3,1,0,1,2
"Dfna5",0,1,1,0,1,0,1,3,3,1,0,0,2,1,0,0,1,2,2,1,0,0,1,1,1,2,2,0,3,0,1,2,0,1,3,0,0,3,1,2,1,1,3,2,0,0,0,0,4,0,0,1,2,0,0,0,0,2,3,3,1,0,0,0,2,0,2,0,3
"Dlx1",0,0,4,2,3,1,0,0,3,1,0,2,0,0,5,3,1,3,0,1,3,2,1,0,4,1,4,2,1,1,0,2,1,1,1,0,1,1,3,0,0,2,2,2,1,4,0,2,0,3,4,0,0,0,5,0,0,5,0,0,1,1,1,1,3,1,0,4,0
"Panx1",0,4,1,1,4,2,0,0,1,1,4,2,0,0,1,2,1,2,2,2,2,1,2,0,3,5,4,1,4,5,2,2,2,1,6,1,2,1,2,2,0,4,1,0,3,0,5,5,1,2,0,2,3,1,2,1,2,6,0,1,2,2,3,1,0,4,2,2,2
"Slc7a1",0,3,1,0,1,2,0,1,1,1,4,4,1,7,1,1,3,3,0,2,5,2,2,4,5,3,2,0,4,1,0,2,5,3,5,8,2,3,2,1,1,2,3,2,2,3,2,0,1,2,0,0,1,2,6,2,0,2,1,0,1,2,4,4,0,1,4,5,3
"Dlx2",0,0,1,2,1,2,0,0,3,1,0,1,0,0,1,0,1,5,2,0,3,2,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,1,0,1,0,0,3,0,3,2,1,0,3,5,2,0,0,1,1,0,0,5,0,1
"Pag1",0,0,3,0,1,0,0,1,2,4,0,0,1,0,0,4,5,4,0,2,3,1,2,4,0,1,0,1,0,5,2,4,1,1,2,0,5,2,3,5,2,4,4,0,1,1,2,1,4,1,1,3,0,2,0,0,1,1,2,0,0,2,0,3,1,4,2,3,1
"Syngr3",0,6,3,8,9,1,2,5,6,5,8,4,4,0,4,3,3,8,2,9,8,1,5,9,14,5,11,2,3,3,5,3,9,8,7,14,6,7,10,0,6,4,9,2,5,7,6,7,9,7,5,8,6,2,8,5,0,6,3,6,3,2,2,2,3,3,9,2,2
"Rbms3",0,0,1,1,1,0,0,1,0,2,3,2,1,0,0,1,0,5,2,0,0,1,0,0,0,1,3,1,1,4,1,0,2,3,0,1,0,3,1,3,0,0,0,3,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,3,0,1,1,4,1,0
"Pgap1",0,1,1,1,4,0,1,0,0,0,2,1,0,0,1,0,1,0,0,4,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,0,0,0,2,1,0,1,2,2,0,0,1,0,1,0,0,0,1,2,1,0,1,1,0,4,1,1,0
"Dzank1",0,6,3,1,3,3,0,7,7,1,1,0,4,1,0,2,3,5,1,2,1,3,3,1,2,0,5,1,3,5,3,2,1,4,3,1,0,0,6,1,5,0,3,3,0,1,1,3,3,5,4,6,3,1,3,2,0,1,1,5,2,1,2,0,3,1,3,1,2
"Nap1l5",0,5,2,2,7,2,0,9,5,0,11,4,3,3,7,2,3,1,2,2,3,4,4,0,7,5,8,0,4,5,3,2,3,11,4,4,0,2,4,0,4,3,5,1,3,4,4,13,4,5,7,7,2,3,6,0,0,8,1,1,2,3,4,2,3,2,7,1,1
"Lancl3",0,3,1,4,0,0,0,2,0,1,2,2,1,1,2,5,2,0,2,2,1,0,1,2,1,2,0,0,1,2,2,2,0,1,3,2,4,2,2,0,1,1,0,1,1,0,3,0,0,3,3,6,1,2,2,1,1,0,4,1,4,1,2,3,1,1,1,3,1
"Peg3",0,6,7,1,4,3,0,7,5,5,4,5,4,1,7,1,3,7,9,2,5,6,8,3,6,7,8,2,2,6,1,4,2,4,5,5,6,3,3,4,3,3,4,2,13,6,4,9,11,13,5,4,2,10,6,3,1,7,4,11,1,1,5,6,4,6,15,7,7
"Rimkla",0,1,3,1,3,1,0,1,0,0,0,4,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,2,0,2,0,0,0,2,0,1,3,1,0,0,0,0,0,0,1,0,4,2,0,6,3,0,0,0,0,3,0,0,1,0,3
"Tbc1d8",0,2,2,2,0,1,2,1,4,1,1,0,2,2,2,1,1,1,0,3,3,2,0,1,1,1,1,0,2,6,3,1,2,4,0,1,3,0,1,2,1,3,3,0,0,2,4,0,0,1,1,0,1,0,2,1,0,1,1,4,3,0,0,1,2,1,4,1,2
"Dnm3",0,2,0,1,4,4,0,0,0,2,3,3,2,4,1,3,1,1,6,0,5,2,3,2,5,1,4,4,2,3,3,2,2,4,6,1,2,1,6,3,2,2,3,0,0,4,8,4,1,4,4,3,2,3,7,2,0,3,2,2,0,2,2,1,3,0,4,3,0
"Prpsap1",0,1,4,1,2,2,0,1,0,1,0,0,3,3,3,2,1,2,2,0,0,1,2,2,0,4,2,0,4,1,5,4,2,4,3,2,4,4,0,2,2,1,2,3,5,3,2,0,3,3,1,1,2,5,2,1,1,1,1,1,3,1,1,0,0,2,6,1,4
"Neto1",0,1,2,0,3,0,1,2,2,2,2,1,5,0,1,3,1,0,2,3,3,2,5,4,5,2,4,1,1,1,2,1,2,0,0,1,2,3,2,1,2,2,3,2,2,1,0,4,4,1,5,3,3,0,2,0,1,2,4,3,0,1,3,0,1,4,5,2,1
"Syt13",1,6,3,7,13,5,2,13,11,11,12,7,7,1,5,8,3,11,14,9,11,9,10,8,5,12,17,2,8,9,10,13,15,8,7,8,8,16,17,18,10,1,7,1,9,9,15,17,19,8,8,9,10,11,8,5,1,5,4,8,6,8,13,11,5,9,18,10,9
"Lhfpl3",0,1,1,3,2,0,2,0,3,0,1,0,0,3,0,5,0,0,1,0,2,1,1,3,1,0,0,0,3,0,1,2,1,0,0,0,1,1,2,1,3,0,3,2,3,0,1,0,1,0,0,0,1,3,1,0,0,0,3,1,3,2,0,5,0,0,1,1,3
"Nap1l3",0,5,1,1,3,1,3,5,4,3,0,2,3,1,3,2,2,1,1,2,0,1,2,1,3,3,2,2,3,4,1,1,1,3,0,3,0,0,2,0,0,0,1,4,1,4,0,2,0,4,2,1,1,2,2,0,1,5,3,0,5,2,1,2,1,1,0,4,1
"Pitpnc1",0,0,0,0,0,0,1,1,0,1,2,0,2,0,1,0,1,1,3,0,1,2,3,2,2,1,1,2,0,0,0,0,1,1,2,2,1,2,0,2,1,2,1,2,3,1,1,1,2,3,4,0,1,3,2,6,0,2,3,2,2,2,1,1,0,1,1,1,2
"Hsdl1",0,3,0,2,1,0,0,4,3,1,5,1,5,1,1,2,4,4,1,6,4,2,2,9,4,2,4,0,3,2,2,3,0,2,4,3,2,3,3,2,5,2,1,0,4,2,0,3,3,4,4,3,1,1,4,1,1,2,1,5,7,1,4,4,2,2,2,5,0
"Iglon5",0,4,7,2,5,3,2,10,8,6,1,8,5,1,1,5,2,5,5,6,6,4,3,5,2,3,6,0,4,5,2,4,3,8,5,5,2,4,6,8,4,2,3,2,1,6,1,3,3,5,12,7,4,5,4,3,2,10,7,3,1,0,3,4,3,5,2,5,5
"Kcnh2",0,2,2,3,4,3,1,6,7,4,1,7,3,0,2,6,2,2,3,0,2,3,1,0,0,6,3,0,1,9,0,1,1,13,2,3,1,1,2,0,4,0,3,3,0,5,0,6,2,2,6,9,0,1,4,2,0,5,2,3,2,2,0,1,0,0,4,0,4
"Thsd7a",0,2,2,0,1,2,1,1,1,0,2,0,3,0,1,1,3,1,0,1,0,0,3,0,0,0,2,0,5,0,1,0,4,0,0,1,0,0,0,1,0,2,1,4,3,1,1,0,0,2,0,1,0,1,1,0,0,0,0,0,1,2,3,2,2,2,0,0,0
"Slc25a33",2,4,3,5,6,2,1,2,2,3,1,4,2,2,0,4,2,2,3,1,4,1,4,7,5,6,4,4,2,3,2,7,5,4,3,1,4,4,3,4,5,1,2,2,1,2,1,4,1,4,0,5,7,2,1,3,1,1,0,1,1,1,0,0,2,2,1,6,1
"Rpp25",0,0,2,0,3,0,0,3,2,1,2,1,1,6,2,1,0,4,0,0,3,2,2,3,3,4,3,0,3,0,0,0,1,5,0,2,2,0,1,0,1,5,4,0,0,0,0,1,1,1,1,7,1,4,4,0,0,3,0,0,1,2,0,1,2,2,4,1,0
"Rassf5",0,3,2,3,0,3,0,3,2,1,1,1,2,1,1,2,3,1,2,3,3,2,2,2,3,2,2,0,0,1,4,3,0,3,2,4,3,1,0,2,1,0,1,0,1,0,1,2,2,6,1,4,2,2,2,3,1,3,0,1,1,0,0,2,2,0,5,1,2
"Tmem130",0,2,7,1,4,4,2,8,5,11,2,5,6,4,9,5,4,6,1,0,7,3,6,6,5,4,6,0,4,4,0,3,3,4,5,5,3,6,11,7,4,6,5,3,2,5,6,5,8,4,9,2,3,4,9,6,2,5,4,14,4,4,7,6,7,8,4,9,7
"Slc8a3",0,1,0,3,1,1,1,0,2,1,1,0,2,2,2,1,4,2,3,2,2,2,1,3,0,2,3,0,1,3,1,0,3,1,3,1,1,2,0,0,1,0,0,2,1,2,2,2,1,1,3,0,5,3,1,1,0,1,1,2,3,2,2,0,1,3,4,1,1
"Whrn",0,0,3,0,3,0,0,1,3,1,1,1,2,1,2,1,0,1,5,0,1,1,0,2,1,3,2,2,1,3,1,2,2,2,3,0,2,0,2,3,1,0,1,1,0,1,1,2,5,1,0,1,0,2,0,0,2,2,0,0,1,2,0,0,0,2,3,4,2
"Tgoln1",0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,1,2,3,0,0,2,5,0,0,1,1,1,1,1,1,0,0,1,1,4,4,1,0,0,2,3,1,1,0,1,2,1,0,3,1,0,0,0,1,1,2,0,1,1,2,1,0,1,0,0
"Rcan3",0,1,4,0,1,0,0,3,3,3,2,2,1,2,2,3,1,0,2,1,1,2,0,2,0,3,2,0,0,5,1,1,0,2,2,2,2,2,2,1,1,2,4,3,1,0,0,1,0,2,2,2,1,2,4,1,0,0,1,1,1,0,0,3,1,2,3,1,0
"Cdh7",0,0,0,1,0,3,0,0,1,1,1,0,2,2,0,0,1,2,1,0,1,1,2,2,4,3,1,0,0,1,1,0,1,0,0,2,1,2,0,2,3,3,1,0,1,0,0,1,0,4,1,0,0,0,0,2,0,0,0,2,2,0,2,0,0,2,2,1,4
"Ccne1",0,2,3,1,3,0,0,2,4,3,4,0,1,1,5,3,4,0,3,2,1,3,2,0,6,1,2,0,3,2,2,2,1,4,3,3,2,2,1,2,1,3,2,3,3,2,1,2,2,1,3,2,1,5,4,1,0,1,5,3,2,0,0,1,3,1,3,2,0
"Ppme1",0,0,4,0,1,1,0,1,0,3,0,0,3,2,1,1,0,3,3,0,4,5,2,2,0,3,4,1,2,6,1,1,1,2,2,2,1,0,4,5,1,1,2,3,0,1,1,3,4,3,0,1,3,0,3,0,2,1,0,2,1,0,2,1,2,2,4,4,3
"Ugdh",0,4,1,1,0,0,4,1,0,0,2,0,1,0,1,2,2,2,1,0,0,3,0,6,3,2,2,1,3,1,4,4,2,3,3,1,6,2,4,1,2,3,1,0,1,4,3,1,0,5,2,2,1,3,1,0,0,1,1,1,1,1,6,0,1,1,2,4,1
"Glce",0,1,1,2,3,0,1,2,3,1,1,2,0,0,2,1,1,1,2,2,1,2,2,0,1,1,2,0,2,2,1,1,0,2,1,0,2,1,0,0,1,0,3,3,4,3,0,1,2,0,1,1,0,1,1,2,0,1,0,0,0,0,1,0,1,1,0,1,1
"Klhl29",0,4,2,1,5,3,1,1,4,4,4,2,0,0,4,1,4,3,3,1,3,5,1,3,1,3,0,0,3,1,3,2,2,2,1,2,2,0,1,7,1,0,4,2,1,4,4,5,5,3,0,4,4,3,4,3,2,4,2,2,0,0,2,2,2,2,2,0,4
"Tmem178",0,1,2,5,1,0,1,8,10,14,7,4,7,2,2,2,2,0,3,6,3,6,8,12,6,7,6,1,2,2,0,6,6,6,6,4,7,6,14,7,10,1,2,4,2,5,4,2,4,3,5,1,17,6,5,0,0,5,8,11,2,4,6,12,2,4,8,7,3
"Zfp385a",0,2,5,7,2,13,1,5,6,5,4,10,10,5,3,9,4,7,8,4,8,5,3,2,8,13,5,1,6,7,11,4,4,13,4,3,2,4,6,3,6,2,5,1,5,7,8,16,7,5,11,17,6,3,9,5,0,8,0,2,2,3,3,2,3,7,3,5,4
"Fam161b",0,6,1,3,2,2,0,1,1,3,1,1,2,1,0,2,2,1,0,0,2,0,0,2,1,0,3,1,7,4,0,1,2,1,1,1,1,0,2,0,1,1,1,3,0,1,3,3,2,0,6,4,1,3,2,2,1,4,2,0,1,1,0,1,0,3,1,2,2
"Foxred2",0,3,1,3,2,2,0,2,1,4,1,0,2,0,1,1,1,0,4,2,3,2,1,0,3,2,2,1,1,2,0,0,0,1,1,3,2,2,2,1,2,1,0,1,1,1,1,2,1,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,2,1,1,3,4
"Nploc4",0,1,2,3,2,2,2,5,3,3,2,4,3,3,5,3,3,0,6,5,3,6,3,4,2,4,3,1,4,3,8,3,0,3,2,1,0,1,0,2,0,4,4,3,3,5,2,1,3,5,2,3,3,4,2,3,2,2,4,0,1,1,4,1,1,5,0,1,2
"Mpp3",0,4,2,1,3,2,1,3,2,3,2,2,5,0,3,6,5,9,5,2,5,4,4,3,3,2,1,0,2,3,4,6,7,1,6,5,4,5,7,4,6,0,4,4,2,3,7,6,4,4,3,8,1,0,4,2,0,3,3,2,4,2,3,6,3,5,1,4,1
"Dlc1",2,2,1,5,1,2,1,1,0,0,5,3,3,4,1,1,1,0,2,4,4,5,3,5,4,2,0,0,3,1,0,1,0,1,5,4,3,7,4,1,1,2,3,2,1,3,1,4,1,4,3,1,2,2,1,1,0,3,1,3,3,0,4,4,2,0,2,1,2
"Tbc1d24",0,1,3,2,4,2,2,3,7,4,4,3,5,1,3,6,6,4,4,5,4,6,6,4,7,5,4,1,3,8,5,2,3,4,1,6,5,2,6,5,5,2,8,8,3,2,2,6,3,4,7,3,5,7,5,0,1,6,3,1,2,1,6,4,2,5,5,5,4
"Samd10",0,0,2,1,0,2,3,3,0,1,2,3,1,2,2,4,1,2,1,4,5,1,6,1,3,1,1,0,0,1,0,1,1,2,4,1,3,0,1,2,1,2,1,1,3,0,3,2,1,2,0,2,3,2,2,2,0,4,5,4,1,1,1,2,4,2,0,4,2
"Ppfia4",0,3,5,3,1,3,0,4,2,2,1,3,3,2,1,7,2,5,2,2,4,2,4,0,6,3,4,0,2,7,4,2,7,2,4,1,6,3,1,3,4,5,5,6,6,10,1,4,3,3,4,2,1,3,4,2,0,3,1,3,1,0,2,1,3,1,3,1,1
"Rab11fip5",0,3,1,0,2,3,2,3,2,5,2,3,3,2,2,0,2,3,3,3,4,2,1,5,2,4,1,1,2,1,3,4,2,0,5,2,4,2,2,2,4,0,0,2,3,3,1,4,2,6,4,1,3,4,2,2,2,0,3,1,4,2,2,2,2,2,1,1,0
"Snx8",0,3,2,1,1,0,2,1,1,2,1,4,1,0,1,2,3,2,2,0,3,5,1,4,1,1,2,0,4,1,1,1,2,3,0,1,3,3,2,1,5,2,1,2,1,0,1,0,0,3,1,1,0,5,3,0,0,2,1,1,1,0,1,3,3,0,1,0,2
"Pitpnm3",0,2,7,4,0,0,1,4,5,4,3,2,1,0,1,2,2,2,3,3,4,3,2,4,1,2,1,0,4,4,4,1,1,3,6,4,2,5,3,5,0,0,9,5,5,3,5,2,5,1,3,2,4,6,1,2,1,5,1,6,4,4,4,2,7,4,1,4,4
"Ttn",0,2,2,4,2,2,0,1,2,1,2,1,3,1,1,0,0,3,0,2,3,4,0,1,3,1,0,1,1,2,1,1,1,1,0,2,2,5,0,0,2,0,2,5,0,0,3,1,1,2,1,0,3,0,2,3,0,3,1,2,1,0,3,4,2,2,0,4,1
"B3galt6",0,0,2,1,1,2,1,2,0,2,1,0,1,0,4,1,2,2,2,2,1,3,1,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,0,3,1,0,1,4,1,1,2,2,3,2,0,0,1,1,1,0,0,2,1,0,2,2,1,0,0,2,1,1,3
"Afg3l2",0,2,2,2,0,2,2,3,3,6,3,3,5,2,2,3,2,2,2,4,6,4,3,8,2,5,3,0,4,3,1,2,2,2,8,7,1,2,2,4,5,3,3,6,1,2,3,6,4,4,5,3,7,3,6,1,0,3,4,3,5,2,4,7,1,5,4,2,4
"Hibadh",0,2,1,1,1,2,2,2,4,5,1,4,1,1,3,1,2,2,2,0,5,2,1,3,6,3,2,0,6,3,2,2,1,3,5,1,2,3,2,4,4,2,2,3,3,2,2,3,0,4,2,3,1,6,0,4,0,6,0,2,4,0,1,3,1,3,1,4,4
"Dnm1l",0,4,1,0,3,1,1,4,1,2,2,4,5,1,2,0,1,3,4,4,5,4,2,4,5,4,4,0,0,4,3,2,3,3,2,1,3,3,3,2,2,1,1,1,2,2,3,4,5,2,2,1,2,1,6,3,0,2,5,4,2,2,2,1,1,2,1,1,1
"Gpr83",0,1,1,0,0,0,0,1,2,4,4,2,2,2,1,3,1,1,0,1,2,2,0,3,3,0,0,0,2,2,1,3,0,1,1,1,2,0,4,1,1,0,0,1,0,0,3,2,3,2,2,2,3,2,2,0,1,4,1,0,3,0,5,4,3,0,0,1,0
